2025-05-16 01:14:01.943+0000 INFO  CREATE USER neo4j PASSWORD ****** CHANGE NOT REQUIRED
2025-05-16 01:14:02.046+0000 INFO  CREATE ROLE admin
2025-05-16 01:14:02.047+0000 INFO  GRANT TRANSACTION MANAGEMENT ON DATABASE * TO admin
2025-05-16 01:14:02.049+0000 INFO  GRANT START ON DATABASE * TO admin
2025-05-16 01:14:02.049+0000 INFO  GRANT STOP ON DATABASE * TO admin
2025-05-16 01:14:02.049+0000 INFO  GRANT ALL ON DBMS TO admin
2025-05-16 01:14:02.050+0000 INFO  GRANT CONSTRAINT MANAGEMENT ON DATABASE * TO admin
2025-05-16 01:14:02.050+0000 INFO  GRANT INDEX MANAGEMENT ON DATABASE * TO admin
2025-05-16 01:14:02.050+0000 INFO  GRANT NAME MANAGEMENT ON DATABASE * TO admin
2025-05-16 01:14:02.050+0000 INFO  GRANT WRITE ON GRAPH * TO admin
2025-05-16 01:14:02.050+0000 INFO  GRANT MATCH {*} ON GRAPH * TO admin
2025-05-16 01:14:02.050+0000 INFO  GRANT ACCESS ON DATABASE * TO admin
2025-05-16 01:14:02.051+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO admin
2025-05-16 01:14:02.051+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO admin
2025-05-16 01:14:02.051+0000 INFO  GRANT LOAD ON ALL DATA TO admin
2025-05-16 01:14:02.051+0000 INFO  CREATE ROLE architect
2025-05-16 01:14:02.051+0000 INFO  GRANT CONSTRAINT MANAGEMENT ON DATABASE * TO architect
2025-05-16 01:14:02.051+0000 INFO  GRANT INDEX MANAGEMENT ON DATABASE * TO architect
2025-05-16 01:14:02.052+0000 INFO  GRANT NAME MANAGEMENT ON DATABASE * TO architect
2025-05-16 01:14:02.052+0000 INFO  GRANT WRITE ON GRAPH * TO architect
2025-05-16 01:14:02.052+0000 INFO  GRANT MATCH {*} ON GRAPH * TO architect
2025-05-16 01:14:02.052+0000 INFO  GRANT ACCESS ON DATABASE * TO architect
2025-05-16 01:14:02.052+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO architect
2025-05-16 01:14:02.052+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO architect
2025-05-16 01:14:02.052+0000 INFO  CREATE ROLE publisher
2025-05-16 01:14:02.053+0000 INFO  GRANT NAME MANAGEMENT ON DATABASE * TO publisher
2025-05-16 01:14:02.053+0000 INFO  GRANT WRITE ON GRAPH * TO publisher
2025-05-16 01:14:02.053+0000 INFO  GRANT MATCH {*} ON GRAPH * TO publisher
2025-05-16 01:14:02.053+0000 INFO  GRANT ACCESS ON DATABASE * TO publisher
2025-05-16 01:14:02.053+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO publisher
2025-05-16 01:14:02.054+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO publisher
2025-05-16 01:14:02.054+0000 INFO  CREATE ROLE editor
2025-05-16 01:14:02.054+0000 INFO  GRANT WRITE ON GRAPH * TO editor
2025-05-16 01:14:02.055+0000 INFO  GRANT MATCH {*} ON GRAPH * TO editor
2025-05-16 01:14:02.055+0000 INFO  GRANT ACCESS ON DATABASE * TO editor
2025-05-16 01:14:02.055+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO editor
2025-05-16 01:14:02.055+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO editor
2025-05-16 01:14:02.055+0000 INFO  CREATE ROLE reader
2025-05-16 01:14:02.055+0000 INFO  GRANT MATCH {*} ON GRAPH * TO reader
2025-05-16 01:14:02.055+0000 INFO  GRANT ACCESS ON DATABASE * TO reader
2025-05-16 01:14:02.055+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO reader
2025-05-16 01:14:02.056+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO reader
2025-05-16 01:14:02.056+0000 INFO  CREATE ROLE PUBLIC
2025-05-16 01:14:02.056+0000 INFO  GRANT ACCESS ON HOME DATABASE TO PUBLIC
2025-05-16 01:14:02.056+0000 INFO  GRANT EXECUTE PROCEDURE * ON DBMS TO PUBLIC
2025-05-16 01:14:02.056+0000 INFO  GRANT EXECUTE FUNCTION * ON DBMS TO PUBLIC
2025-05-16 01:14:02.057+0000 INFO  GRANT LOAD ON ALL DATA TO PUBLIC
2025-05-16 01:14:02.057+0000 INFO  GRANT ROLE admin TO neo4j
